479877,West Ham United,0,1,Stoke City,82,JermainePennant,31/08/2013,2013/2014,PremierLeague,England,0 - 0,0 - 1
479879,Everton,1,0,Chelsea,45,StevenNaismith,14/09/2013,2013/2014,PremierLeague,England,1 - 0,1 - 0
479880,Fulham,1,0,West Bromwich Albion,22,SteveSidwell,14/09/2013,2013/2014,PremierLeague,England,1 - 0,1 - 1
479880,Fulham,0,1,West Bromwich Albion,92,GarethMcAuley,14/09/2013,2013/2014,PremierLeague,England,1 - 0,1 - 1
479878,Aston Villa,1,0,Newcastle United,67,ChristianBenteke,14/09/2013,2013/2014,PremierLeague,England,0 - 1,1 - 2
479878,Aston Villa,0,1,Newcastle United,18,HatemBenArfa,14/09/2013,2013/2014,PremierLeague,England,0 - 1,1 - 2
479878,Aston Villa,0,1,Newcastle United,73,YoanGouffran,14/09/2013,2013/2014,PremierLeague,England,0 - 1,1 - 2
479881,Hull City,1,0,Cardiff City,40,CurtisDavies,14/09/2013,2013/2014,PremierLeague,England,1 - 0,1 - 1
479881,Hull City,0,1,Cardiff City,59,PeterWhittingham,14/09/2013,2013/2014,PremierLeague,England,1 - 0,1 - 1
479882,Manchester United,1,0,Crystal Palace,45,RobinvanPersie,14/09/2013,2013/2014,PremierLeague,England,1 - 0,2 - 0
479882,Manchester United,1,0,Crystal Palace,81,WayneRooney,14/09/2013,2013/2014,PremierLeague,England,1 - 0,2 - 0
479883,Southampton,0,0,West Ham United,,,15/09/2013,2013/2014,PremierLeague,England,0 - 0,0 - 0
479885,Sunderland,1,0,Arsenal,48,CraigGardner,14/09/2013,2013/2014,PremierLeague,England,0 - 1,1 - 3
479885,Sunderland,0,1,Arsenal,11,OlivierGiroud,14/09/2013,2013/2014,PremierLeague,England,0 - 1,1 - 3
479885,Sunderland,0,1,Arsenal,76,AaronRamsey,14/09/2013,2013/2014,PremierLeague,England,0 - 1,1 - 3
479885,Sunderland,0,1,Arsenal,67,AaronRamsey,14/09/2013,2013/2014,PremierLeague,England,0 - 1,1 - 3
479884,Stoke City,0,0,Manchester City,,,14/09/2013,2013/2014,PremierLeague,England,0 - 0,0 - 0
479888,Arsenal,1,0,Stoke City,5,AaronRamsey,22/09/2013,2013/2014,PremierLeague,England,2 - 1,3 - 1
479888,Arsenal,1,0,Stoke City,36,PerMertesacker,22/09/2013,2013/2014,PremierLeague,England,2 - 1,3 - 1
479888,Arsenal,1,0,Stoke City,72,BacarySagna,22/09/2013,2013/2014,PremierLeague,England,2 - 1,3 - 1
